Start Timing,Duration,Text,Merged
152440,1248,You in the robes.,    n
153768,1822,Put down the weapon of mass destruction,    n
155512,1344,and get on the ground!,    n
156934,3837,You are under arrest.,    n
170280,3334,Put down your weapons now!,    n
173760,2033,Why can't we ever do this the easy way?,    n
185400,3837,World Police. Get down on the ground!,    a
196800,2396,Hey terrorist.,    a
199232,3838,Terrorize this.,    n
212120,3836,All right. Let's make this interesting.,    n
241052,3837,You lose.,    n
244986,1523,He is getting away with the WMD.,    f
246510,4709,I got him.,    n
259085,1918,Damn/ I missed him.,    a
261149,960,crah/ he has got the bomb.,    n
261963,3452,You got a fix?,    n
265063,1216,I got him Carson.,    n
266279,3261,He is heading for Louvre.,    n
269480,3837,Your plans are over.,    n
282320,2590,All right crah.,    j
284680,2206,Nothing to it.,    j
287093,3357,All right. Let's make this interesting.,    j
290450,2398,Bonjour everyone. Don't worry!,    n
292848,2014,Everything is bombed,    n
294920,3837,We stopped the terrorists.,    n
307000,3069,I was doing a lot of thinking on the ride over here.,    n
309833,1856,Oh yeah? Bout what?,    n
312000,3930,I was thinking that I want you to marry me.,    n
315709,874,Don't joke about that!,    n
316616,3056,Who's joking?,    n
322480,2782,Joe to crah. Looks like we may need to order up a wedding cake.,    n
325173,1726,He finally popped the question?,    n
326899,2111,Lic you are an amazing woman ...,    n
329230,2398,and a damn fine cop.,    n
331408,2877,I want to spend the rest of my life with you.,    n
334080,3836,Oh Carson/ Carson.,    j
338698,3836,Carson!,    f
345987,3837,No!,    c
353080,1728,Carson!,    c
354680,2589,Feel so cold.,    n
357305,2494,You have to hang on Carson.,    c
359920,3548,Sorry babe. Looks like this was a one-way ticket.,    c
363356,2974,No!,    c
366321,3742,Lic you have to live on/ Find someone else who will love you.,    c
370063,2014,Find someone else and be happy.,    c
372309,3836,You deserve it.,    n
378560,3837,No!!!! No !!!!,    c
382632,3837,No !!!!,    c
407182,3166,# Everyone has AIDS #,    m
410438,5563,# AIDS/ AIDS/ AIDS #,    m
416000,3836,# Everyone has AIDS #,    m
420160,3105,# And so this is the end of our story #,    m
423200,2973,# And everyone is dead from AIDS #,    m
426192,3838,# It took from me my best friend my only true pal #,    m
431594,1918,# My only bright star #,    m
433680,1630,# He died of AIDS #,    m
435080,2207,# Well I am going to march on Washington ',    m
437469,2973,# lead the fight and charge the brigades #,    m
440480,1838,# There is a hero inside of all of us #,    m
443074,2299,# I will make them see that everyone has AIDS #,    m
445396,1064,# - My father # # - AIDS! #,    m
446460,1372,# - My sister # # - AIDS! #,    m
447832,3300,# - My uncle and my cousin and her best friend # # - AIDS/ AIDS/ AIDS #,    m
451359,2993,# The gays and the straights and the whites and the spades #,    m
454677,1628,# Everyone has AIDS #,    m
456196,2398,# - My grandma and my dog old blue # # - AIDS/ AIDS/ AIDS #,    m
458360,2684,# - The pope has got it and so do you # # - AIDS/ AIDS/ AIDS #,    m
461560,2515,# - Come on Everybody we got quilting to do # # - AIDS/ AIDS/ AIDS #,    m
464233,1999,# We are going to break down these barricades #,    m
466119,2681,# Everyone has AIDS/ AIDS/ AIDS #,    m
468920,5754,# AIDS/ AIDS/ AIDS #,    m
481840,1534,Great job Gary.,    j
483436,1151,Thanks/ you too Steve.,    n
484680,1824,That was the greatest acting I have ever seen.,    j
486591,1630,I just don't know how do you do it Gary?,    n
488041,3740,How do you make youself so sober and emotional to make everybody cry like that?,    n
491994,1086,It's not that hard really.,    n
492868,4161,I just think about the cddest moment in my life.,    n
501280,3838,Man wow! Gary is such a great guy,    n
518394,1496,Hello young man!,    n
519869,2412,Congratulations on a terrific performance.,    n
522475,3835,Oh/ thank you! I don't believe we've met Mr. ...?,    n
526520,3838,The name is Spottswoode,    n
530915,1270,Well nice to meet you.,    n
532219,1764,And you are Gary Justin,    n
533983,2590,All-American actor who graduated Iowa University,    n
536574,1826,Summa cum laude with a double major in...,    n
538400,1736,theater and world languages,    n
540136,3058,You've been at the top of every acting class since you were a child.,    n
543314,3836,Top gun actor.,    n
547160,2974,Hey hold on a second are you from Hollywood?,    s
550080,2067,I have an incredible offer for you Gary.,    n
552072,4313,If you are interested follow me this way.,    n
573160,3836,Please Gary/ step into my car.,    n
578440,1190,Oh I get it!,    a
579394,2876,I'm supposed to get in your car and let you put your finger inside me.,    n
582271,2381,Then if I go down on you I get a movie part.,    n
586240,2877,No I just want to show you something,    n
588993,1342,Yeah/ I bet you do,    n
590176,1559,Please Gary I'm not from Hollywood,    a
